File Names,word,noise,F0step,textOption_0,textOption_1,textOption_2,textOption_3,sound
HAD_-3_F0-1.wav,HAD,-3,F0-1,HEED,HAD,HEAD,HARD,HAD_-3_F0-1
HAD_-3_F0-2.wav,HAD,-3,F0-2,HEED,HAD,HEAD,HARD,HAD_-3_F0-2
HAD_-3_F0-3.wav,HAD,-3,F0-3,HEED,HAD,HEAD,HARD,HAD_-3_F0-3
HAD_-3_F0-4.wav,HAD,-3,F0-4,HEED,HAD,HEAD,HARD,HAD_-3_F0-4
HAD_-3_F0-5.wav,HAD,-3,F0-5,HEED,HAD,HEAD,HARD,HAD_-3_F0-5
HAD_-3_F00.wav,HAD,-3,F00,HEED,HAD,HEAD,HARD,HAD_-3_F00
HAD_-3_F01.wav,HAD,-3,F01,HEED,HAD,HEAD,HARD,HAD_-3_F01
HAD_-3_F02.wav,HAD,-3,F02,HEED,HAD,HEAD,HARD,HAD_-3_F02
HAD_-3_F03.wav,HAD,-3,F03,HEED,HAD,HEAD,HARD,HAD_-3_F03
HAD_-3_F04.wav,HAD,-3,F04,HEED,HAD,HEAD,HARD,HAD_-3_F04
HAD_-3_F05.wav,HAD,-3,F05,HEED,HAD,HEAD,HARD,HAD_-3_F05
HAD_-6_F0-1.wav,HAD,-6,F0-1,HEED,HAD,HEAD,HARD,HAD_-6_F0-1
HAD_-6_F0-2.wav,HAD,-6,F0-2,HEED,HAD,HEAD,HARD,HAD_-6_F0-2
HAD_-6_F0-3.wav,HAD,-6,F0-3,HEED,HAD,HEAD,HARD,HAD_-6_F0-3
HAD_-6_F0-4.wav,HAD,-6,F0-4,HEED,HAD,HEAD,HARD,HAD_-6_F0-4
HAD_-6_F0-5.wav,HAD,-6,F0-5,HEED,HAD,HEAD,HARD,HAD_-6_F0-5
HAD_-6_F00.wav,HAD,-6,F00,HEED,HAD,HEAD,HARD,HAD_-6_F00
HAD_-6_F01.wav,HAD,-6,F01,HEED,HAD,HEAD,HARD,HAD_-6_F01
HAD_-6_F02.wav,HAD,-6,F02,HEED,HAD,HEAD,HARD,HAD_-6_F02
HAD_-6_F03.wav,HAD,-6,F03,HEED,HAD,HEAD,HARD,HAD_-6_F03
HAD_-6_F04.wav,HAD,-6,F04,HEED,HAD,HEAD,HARD,HAD_-6_F04
HAD_-6_F05.wav,HAD,-6,F05,HEED,HAD,HEAD,HARD,HAD_-6_F05
HAD_0_F0-1.wav,HAD,0,F0-1,HEED,HAD,HEAD,HARD,HAD_0_F0-1
HAD_0_F0-2.wav,HAD,0,F0-2,HEED,HAD,HEAD,HARD,HAD_0_F0-2
HAD_0_F0-3.wav,HAD,0,F0-3,HEED,HAD,HEAD,HARD,HAD_0_F0-3
HAD_0_F0-4.wav,HAD,0,F0-4,HEED,HAD,HEAD,HARD,HAD_0_F0-4
HAD_0_F0-5.wav,HAD,0,F0-5,HEED,HAD,HEAD,HARD,HAD_0_F0-5
HAD_0_F00.wav,HAD,0,F00,HEED,HAD,HEAD,HARD,HAD_0_F00
HAD_0_F01.wav,HAD,0,F01,HEED,HAD,HEAD,HARD,HAD_0_F01
HAD_0_F02.wav,HAD,0,F02,HEED,HAD,HEAD,HARD,HAD_0_F02
HAD_0_F03.wav,HAD,0,F03,HEED,HAD,HEAD,HARD,HAD_0_F03
HAD_0_F04.wav,HAD,0,F04,HEED,HAD,HEAD,HARD,HAD_0_F04
HAD_0_F05.wav,HAD,0,F05,HEED,HAD,HEAD,HARD,HAD_0_F05
HAD_F0-1.wav,HAD,NA,F0-1,HEED,HAD,HEAD,HARD,HAD_F0-1
HAD_F0-2.wav,HAD,NA,F0-2,HEED,HAD,HEAD,HARD,HAD_F0-2
HAD_F0-3.wav,HAD,NA,F0-3,HEED,HAD,HEAD,HARD,HAD_F0-3
HAD_F0-4.wav,HAD,NA,F0-4,HEED,HAD,HEAD,HARD,HAD_F0-4
HAD_F0-5.wav,HAD,NA,F0-5,HEED,HAD,HEAD,HARD,HAD_F0-5
HAD_F00.wav,HAD,NA,F00,HEED,HAD,HEAD,HARD,HAD_F00
HAD_F01.wav,HAD,NA,F01,HEED,HAD,HEAD,HARD,HAD_F01
HAD_F02.wav,HAD,NA,F02,HEED,HAD,HEAD,HARD,HAD_F02
HAD_F03.wav,HAD,NA,F03,HEED,HAD,HEAD,HARD,HAD_F03
HAD_F04.wav,HAD,NA,F04,HEED,HAD,HEAD,HARD,HAD_F04
HAD_F05.wav,HAD,NA,F05,HEED,HAD,HEAD,HARD,HAD_F05
HEAD_-3_F0-1.wav,HEAD,-3,F0-1,HEED,HAD,HEAD,HARD,HEAD_-3_F0-1
HEAD_-3_F0-2.wav,HEAD,-3,F0-2,HEED,HAD,HEAD,HARD,HEAD_-3_F0-2
HEAD_-3_F0-3.wav,HEAD,-3,F0-3,HEED,HAD,HEAD,HARD,HEAD_-3_F0-3
HEAD_-3_F0-4.wav,HEAD,-3,F0-4,HEED,HAD,HEAD,HARD,HEAD_-3_F0-4
HEAD_-3_F0-5.wav,HEAD,-3,F0-5,HEED,HAD,HEAD,HARD,HEAD_-3_F0-5
HEAD_-3_F00.wav,HEAD,-3,F00,HEED,HAD,HEAD,HARD,HEAD_-3_F00
HEAD_-3_F01.wav,HEAD,-3,F01,HEED,HAD,HEAD,HARD,HEAD_-3_F01
HEAD_-3_F02.wav,HEAD,-3,F02,HEED,HAD,HEAD,HARD,HEAD_-3_F02
HEAD_-3_F03.wav,HEAD,-3,F03,HEED,HAD,HEAD,HARD,HEAD_-3_F03
HEAD_-3_F04.wav,HEAD,-3,F04,HEED,HAD,HEAD,HARD,HEAD_-3_F04
HEAD_-3_F05.wav,HEAD,-3,F05,HEED,HAD,HEAD,HARD,HEAD_-3_F05
HEAD_-6_F0-1.wav,HEAD,-6,F0-1,HEED,HAD,HEAD,HARD,HEAD_-6_F0-1
HEAD_-6_F0-2.wav,HEAD,-6,F0-2,HEED,HAD,HEAD,HARD,HEAD_-6_F0-2
HEAD_-6_F0-3.wav,HEAD,-6,F0-3,HEED,HAD,HEAD,HARD,HEAD_-6_F0-3
HEAD_-6_F0-4.wav,HEAD,-6,F0-4,HEED,HAD,HEAD,HARD,HEAD_-6_F0-4
HEAD_-6_F0-5.wav,HEAD,-6,F0-5,HEED,HAD,HEAD,HARD,HEAD_-6_F0-5
HEAD_-6_F00.wav,HEAD,-6,F00,HEED,HAD,HEAD,HARD,HEAD_-6_F00
HEAD_-6_F01.wav,HEAD,-6,F01,HEED,HAD,HEAD,HARD,HEAD_-6_F01
HEAD_-6_F02.wav,HEAD,-6,F02,HEED,HAD,HEAD,HARD,HEAD_-6_F02
HEAD_-6_F03.wav,HEAD,-6,F03,HEED,HAD,HEAD,HARD,HEAD_-6_F03
HEAD_-6_F04.wav,HEAD,-6,F04,HEED,HAD,HEAD,HARD,HEAD_-6_F04
HEAD_-6_F05.wav,HEAD,-6,F05,HEED,HAD,HEAD,HARD,HEAD_-6_F05
HEAD_0_F0-1.wav,HEAD,0,F0-1,HEED,HAD,HEAD,HARD,HEAD_0_F0-1
HEAD_0_F0-2.wav,HEAD,0,F0-2,HEED,HAD,HEAD,HARD,HEAD_0_F0-2
HEAD_0_F0-3.wav,HEAD,0,F0-3,HEED,HAD,HEAD,HARD,HEAD_0_F0-3
HEAD_0_F0-4.wav,HEAD,0,F0-4,HEED,HAD,HEAD,HARD,HEAD_0_F0-4
HEAD_0_F0-5.wav,HEAD,0,F0-5,HEED,HAD,HEAD,HARD,HEAD_0_F0-5
HEAD_0_F00.wav,HEAD,0,F00,HEED,HAD,HEAD,HARD,HEAD_0_F00
HEAD_0_F01.wav,HEAD,0,F01,HEED,HAD,HEAD,HARD,HEAD_0_F01
HEAD_0_F02.wav,HEAD,0,F02,HEED,HAD,HEAD,HARD,HEAD_0_F02
HEAD_0_F03.wav,HEAD,0,F03,HEED,HAD,HEAD,HARD,HEAD_0_F03
HEAD_0_F04.wav,HEAD,0,F04,HEED,HAD,HEAD,HARD,HEAD_0_F04
HEAD_0_F05.wav,HEAD,0,F05,HEED,HAD,HEAD,HARD,HEAD_0_F05
HEAD_F0-1.wav,HEAD,NA,F0-1,HEED,HAD,HEAD,HARD,HEAD_F0-1
HEAD_F0-2.wav,HEAD,NA,F0-2,HEED,HAD,HEAD,HARD,HEAD_F0-2
HEAD_F0-3.wav,HEAD,NA,F0-3,HEED,HAD,HEAD,HARD,HEAD_F0-3
HEAD_F0-4.wav,HEAD,NA,F0-4,HEED,HAD,HEAD,HARD,HEAD_F0-4
HEAD_F0-5.wav,HEAD,NA,F0-5,HEED,HAD,HEAD,HARD,HEAD_F0-5
HEAD_F00.wav,HEAD,NA,F00,HEED,HAD,HEAD,HARD,HEAD_F00
HEAD_F01.wav,HEAD,NA,F01,HEED,HAD,HEAD,HARD,HEAD_F01
HEAD_F02.wav,HEAD,NA,F02,HEED,HAD,HEAD,HARD,HEAD_F02
HEAD_F03.wav,HEAD,NA,F03,HEED,HAD,HEAD,HARD,HEAD_F03
HEAD_F04.wav,HEAD,NA,F04,HEED,HAD,HEAD,HARD,HEAD_F04
HEAD_F05.wav,HEAD,NA,F05,HEED,HAD,HEAD,HARD,HEAD_F05
